Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High+Low,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
04.12.2022,25.101,25.596,24.874,25.359,-0.156,25.11,25.813,24.955,25.515,50.768,0.756,101.39,-0.298,0.858,0
03.24.2022,25.109,25.813,24.955,25.515,0.756,25.15,25.264,24.729,24.759,49.993,-0.432,99.90,-0.505,0.535,0
07.20.2023,25.148,25.264,24.729,24.759,-0.432,25.16,25.279,24.899,25.191,50.178,0.175,100.53,-0.088,0.38,1
04.20.2022,25.162,25.279,24.899,25.191,0.175,25.16,25.348,24.532,25.016,49.88,-0.675,100.06,-0.332,0.816,0
04.25.2023,25.163,25.348,24.532,25.016,-0.675,25.17,25.712,25.058,25.691,50.77,0.934,101.63,-0.021,0.654,1
03.04.2022,25.169,25.712,25.058,25.691,0.934,25.18,25.359,24.633,24.757,49.992,0.109,99.93,-0.602,0.726,0
03.22.2022,25.182,25.359,24.633,24.757,0.109,25.19,25.187,24.427,24.648,49.614,-0.638,99.45,-0.539,0.76,1
04.21.2022,25.187,25.187,24.427,24.648,-0.638,25.19,25.362,24.665,25.286,50.027,0,100.51,-0.076,0.697,1
04.19.2023,25.192,25.362,24.665,25.286,0,25.23,25.339,24.85,25.286,50.189,0.115,100.71,-0.053,0.489,0
11.12.2021,25.233,25.339,24.85,25.286,0.115,25.28,25.414,24.991,25.171,50.405,-0.117,100.86,-0.243,0.423,0
03.03.2022,25.281,25.414,24.991,25.171,-0.117,25.29,25.452,25.063,25.288,50.515,0.203,101.09,-0.164,0.389,1
04.20.2023,25.286,25.452,25.063,25.288,0.203,25.29,25.326,24.934,25.085,50.26,0.037,100.63,-0.241,0.392,0
04.21.2023,25.287,25.326,24.934,25.085,0.037,25.31,25.357,24.928,25.048,50.285,-0.812,100.64,-0.309,0.429,1
11.15.2021,25.309,25.357,24.928,25.048,-0.812,25.32,26.198,25.315,25.86,51.513,0.132,102.69,-0.338,0.883,1
04.18.2022,25.315,26.198,25.315,25.86,0.132,25.36,25.805,25.33,25.728,51.135,0.797,102.22,-0.077,0.475,0
04.13.2022,25.358,25.805,25.33,25.728,0.797,25.36,25.421,24.829,24.931,50.25,-0.351,100.54,-0.49,0.592,1
03.18.2022,25.36,25.421,24.829,24.931,-0.351,25.37,25.369,24.939,25.282,50.308,-0.293,100.96,-0.087,0.43,1
03.02.2022,25.369,25.369,24.939,25.282,-0.293,25.38,25.575,25.143,25.575,50.718,0.537,101.67,0,0.432,0
05.03.2023,25.376,25.575,25.143,25.575,0.537,25.39,25.592,24.874,25.038,50.466,0.851,100.89,-0.554,0.718,0
04.17.2023,25.385,25.592,24.874,25.038,0.851,25.39,25.468,24.157,24.187,49.625,-0.671,99.20,-1.281,1.311,1
05.11.2023,25.391,25.468,24.157,24.187,-0.671,25.47,25.562,24.804,24.858,50.366,-0.97,100.70,-0.704,0.758,1
03.28.2022,25.471,25.562,24.804,24.858,-0.97,25.50,25.922,25.404,25.828,51.326,0.36,102.66,-0.094,0.518,0
04.13.2023,25.501,25.922,25.404,25.828,0.36,25.52,25.701,25.307,25.468,51.008,-0.134,102.00,-0.233,0.394,0
03.25.2022,25.52,25.701,25.307,25.468,-0.134,25.55,25.668,25.348,25.602,51.016,-0.446,102.17,-0.066,0.32,1
05.09.2023,25.552,25.668,25.348,25.602,-0.446,25.58,26.058,25.475,26.048,51.533,0.656,103.16,-0.01,0.583,0
05.04.2023,25.576,26.058,25.475,26.048,0.656,25.60,25.855,25.259,25.392,51.114,0.102,102.11,-0.463,0.596,0
05.10.2023,25.604,25.855,25.259,25.392,0.102,25.64,25.645,25.29,25.29,50.935,-1.082,101.87,-0.355,0.355,1
04.15.2022,25.64,25.645,25.29,25.29,-1.082,25.65,26.832,25.38,26.372,52.212,0.818,104.23,-0.46,1.452,1
03.08.2022,25.65,26.832,25.38,26.372,0.818,25.66,25.735,25.52,25.554,51.255,-0.096,102.47,-0.181,0.215,0
05.08.2023,25.663,25.735,25.52,25.554,-0.096,25.70,26.1,25.325,25.65,51.425,0.013,102.78,-0.45,0.775,1
03.07.2022,25.702,26.1,25.325,25.65,0.013,25.73,25.851,25.351,25.637,51.202,-0.258,102.56,-0.214,0.5,0
04.14.2022,25.725,25.851,25.351,25.637,-0.258,25.77,26.019,25.374,25.895,51.393,0.508,103.05,-0.124,0.645,1
03.10.2022,25.766,26.019,25.374,25.895,0.508,25.83,26.07,25.191,25.387,51.261,0.222,102.48,-0.683,0.879,0
04.14.2023,25.829,26.07,25.191,25.387,0.222,25.85,25.968,25.077,25.165,51.045,0.139,102.06,-0.803,0.891,1
04.19.2022,25.854,25.968,25.077,25.165,0.139,25.86,25.857,24.967,25.026,50.824,-0.807,101.71,-0.831,0.89,1
03.14.2022,25.856,25.857,24.967,25.026,-0.807,25.90,25.971,25.465,25.833,51.436,0.173,103.17,-0.138,0.506,1
03.11.2022,25.897,25.971,25.465,25.833,0.173,26.05,26.123,25.207,25.66,51.33,-0.106,103.04,-0.463,0.916,0
05.05.2023,26.048,26.123,25.207,25.66,-0.106,26.38,26.744,25.466,25.766,52.21,25.766,104.35,-0.978,1.278,1
